Name_of_settler;;Native_soil;First_mention _ of_person_in_ Denmark;;Type_of_Religion;;Marital_Status_at_time_ of_immergration;;Number_of_chrilden_at_the_time_of_immigration;;After_settling_in_ Denmark;;gps_Longitude;;gps_Latitude ;
Ernich, Jacob;;Kurpfalz;1760;;Reformed ;;Married ;;2;;Remained in Denmark ;;49,408914;;8,107543;
Ernstin, Rosina ;;Not mentioned ;1761;;Not mentioned ;;widow;;4;;Depated from the country;;Na;;Na;
Ewald, Johann Peter;;Hanau;1756;;Lutheran;;Married ;;1;;Depated from the country;;50,125555;;8,928229;
Ewig, Johann Georg ;;Heidelberg Kurpfalz;1759;;Lutheran;;Married ;;0;;Depated from the country;;49,394154;;8,671669;
Ewig, Nicolai;;Schriesheim Kurpfalz;1759;;Lutheran;;Married ;;0;;Depated from the country;;49,476097;;8,660093;
Fiiler, Johann Wolfgang;;Kurpfalz;1761;;Lutheran;;Married ;;2;;Remained in Denmark ;;49,408914;;8,107543;
Fischer, Christopher;;Not mentioned ;1760;;Lutheran;;Married ;;4;;Depated from the country;;Na;;Na;
Fischer, Johann Georg ;;Not mentioned ;1760;;Lutheran;;Married ;;3;;Depated from the country;;Na;;Na;
Fischer, Johann Michael;;Württemberg;1762;;Lutheran;;Married ;;0;;Travelpas to Russia ;;48,767863;;9,227412;
Fitzner, Johann Gottlieb ;;Sachsen;1760;;Lutheran;;Not mentioned ;;1;;Depated from the country;;51,012824;;13,700695;
Fitzner, Wilhelm ;;Staffort ;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;49,091374;;8,510941;
Flech, Johann Adam ;;Not mentioned ;1761;;Not mentioned ;;Not mentioned ;;0;;Depated from the country;;Na;;Na;
Flech, Johann Peter;;Gravenland;1761;;Not mentioned ;;Married ;;0;;Depated from the country;;Na;;Na;
Flech, Johann Wendel;;Gravenland;1761;;Not mentioned ;;Married ;;3;;Depated from the country;;Na;;Na;
Frank, Johann Georg;;Kurmaintz;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;Na;;Na;
